noise_type,mean_accuracy,std_accuracy,mean_f1,std_f1
original,0.662964782964783,0.03184965193538606,0.6569751478214297,0.029047387275334947
gaussian_noise_light,0.6412612612612613,0.034171729340708015,0.6383955685649478,0.03631457619324507
gaussian_noise_medium,0.6194922194922194,0.03328780443049287,0.6112390137590117,0.0343581940632125
gaussian_noise_heavy,0.5724815724815725,0.05446920712323692,0.558655817918603,0.05100584975064935
uniform_noise,0.5470597870597871,0.05691282832770848,0.5228063457989182,0.05004895425613439
